chapter_number	verse_number	token_number	arabic	embedding_id	translation	pause_mark	irab_end	chunk_end
2	15	3	بِهِمْ	477	at them,	0	1	1
2	15	4	وَيَمُدُّهُمْ	93167	and prolongs them	0	0	0
2	15	5	فِى	1	in	0	0	0
2	15	6	طُغْيَٰنِهِمْ	42142	their transgression,	0	1	0
2	15	7	يَعْمَهُونَ	38882	they wander blindly.	0	1	1
2	16	1	أُو۟لَٰٓئِكَ	207615	Those	0	0	0
2	16	2	ٱلَّذِينَ	101	(are) the ones who	0	0	0
2	16	3	ٱشْتَرَوُا۟	26667	bought	0	1	0
2	16	4	ٱلضَّلَٰلَةَ	11698	[the] astraying	0	0	0
2	16	5	بِٱلْهُدَىٰ	20812	for [the] guidance.	0	1	1
2	16	6	فَمَا	287	So not	0	0	0
2	16	7	رَبِحَت	46632	profited	0	0	0
2	16	8	تِّجَٰرَتُهُمْ	52129	their commerce	0	1	1
2	16	9	وَمَا	76	and not	0	0	0
2	16	10	كَانُوا۟	302	were they	0	1	0
2	16	11	مُهْتَدِينَ	43126	guided-ones.	0	1	1
2	17	1	مَثَلُهُمْ	10395	Their example	0	0	0
2	17	2	كَمَثَلِ	6213	(is) like (the) example	0	1	0
2	17	3	ٱلَّذِى	31	(of) the one who	0	0	0
2	17	4	ٱسْتَوْقَدَ	65144	kindled	0	0	0
2	17	5	نَارًا	6861	a fire,	0	1	1
2	17	6	فَلَمَّآ	232	then, when	0	0	0
2	17	7	أَضَآءَتْ	34869	it illuminated	0	1	0
2	17	8	مَا	11	what	0	0	0
2	17	9	حَوْلَهُۥ	3937	(was) around him	0	1	1
2	17	10	ذَهَبَ	735	took away	0	0	0
2	17	11	ٱللَّهُ	4	Allah	0	0	0
2	17	12	بِنُورِهِمْ	72544	their light	0	1	1
2	17	13	وَتَرَكَهُمْ	36180	and left them	0	0	0
2	17	14	فِى	1	in	0	0	0
2	17	15	ظُلُمَٰتٍ	13091	darkness[es],	0	1	1
2	17	16	لَّا	10	(so) not	0	0	0
2	17	17	يُبْصِرُونَ	24487	(do) they see.	0	1	1
2	18	1	صُمٌّۢ	15009	Deaf,	0	0	0
2	18	2	بُكْمٌ	2178	dumb,	0	0	0
2	18	3	عُمْىٌ	5439	blind,	0	1	0
2	18	4	فَهُمْ	738	so they	0	0	0
2	18	5	لَا	10	not	0	0	0
2	18	6	يَرْجِعُونَ	10727	[they] will not return.	0	1	1
2	19	1	أَوْ	14	Or	0	0	0
2	19	2	كَصَيِّبٍ	100424	like a rainstorm	0	0	0
2	19	3	مِّنَ	2	from	0	0	0
2	19	4	ٱلسَّمَآءِ	559	the sky	0	1	1
2	19	5	فِيهِ	40	in it (are)	0	0	0
2	19	6	ظُلُمَٰتٌ	13091	darkness[es],	0	1	0
2	19	7	وَرَعْدٌ	81496	and thunder,	0	0	0
2	19	8	وَبَرْقٌ	54819	and lightning.	0	1	1
2	19	9	يَجْعَلُونَ	15758	They put	0	1	0
2	19	10	أَصَٰبِعَهُمْ	56892	their fingers	0	1	0
2	19	11	فِىٓ	1	in	0	0	0
2	19	12	ءَاذَانِهِم	24747	their ears	0	1	1
2	19	13	مِّنَ	2	from	0	0	0
2	19	14	ٱلصَّوَٰعِقِ	22188	the thunderclaps	0	0	0
2	19	15	حَذَرَ	8822	(in) fear (of)	0	0	0
2	19	16	ٱلْمَوْتِ	668	[the] death.	5	1	1
2	19	17	وَٱللَّهُ	132	And Allah	0	0	0
2	19	18	مُحِيطٌۢ	6852	(is) [the One Who] encompasses	0	1	0
2	19	19	بِٱلْكَٰفِرِينَ	49245	the disbelievers.	0	1	1
2	20	1	يَكَادُ	4232	Almost	0	0	0
2	20	2	ٱلْبَرْقُ	12891	the lightning	0	0	0
2	20	3	يَخْطَفُ	46732	snatches away	0	1	0
2	20	4	أَبْصَٰرَهُمْ	14355	their sight.	3	1	1
2	20	5	كُلَّمَآ	1827	Whenever	0	1	0
2	20	6	أَضَآءَ	25615	it flashes	0	0	0
2	20	7	لَهُم	124	for them	0	1	0
2	20	8	مَّشَوْا۟	53026	they walk	0	0	0
2	20	9	فِيهِ	40	in it,	0	1	1
2	20	10	وَإِذَآ	194	and when	0	0	0
2	20	11	أَظْلَمَ	12459	it darkens	0	1	0
2	20	12	عَلَيْهِمْ	193	on them	0	0	0
2	20	13	قَامُوا۟	6918	they stand (still).	5	1	1
2	20	14	وَلَوْ	131	And if	0	0	0
2	20	15	شَآءَ	316	had willed	0	1	0
2	20	16	ٱللَّهُ	4	Allah,	0	0	1
2	20	17	لَذَهَبَ	38585	He would certainly have taken away	0	1	0
2	20	18	بِسَمْعِهِمْ	114902	their hearing,	0	0	0
2	20	19	وَأَبْصَٰرِهِمْ	42619	and their sight.	5	1	1
2	20	20	إِنَّ	3	Indeed,	0	0	0
2	20	21	ٱللَّهَ	4	Allah	0	0	0
2	20	22	عَلَىٰ	5	(is) on	0	0	0
2	20	23	كُلِّ	43	every	0	0	0
2	20	24	شَىْءٍ	119	thing	0	0	0
2	20	25	قَدِيرٌ	5927	All-Powerful.	0	1	1
2	21	1	يَٰٓأَيُّهَا	526	O	0	0	0
2	21	2	ٱلنَّاسُ	78	mankind!	0	1	0
2	21	3	ٱعْبُدُوا۟	16370	worship	0	1	0
2	21	4	رَبَّكُمُ	2625	your Lord,	0	1	1
2	21	5	ٱلَّذِى	31	the One Who	0	0	0
2	21	6	خَلَقَكُمْ	12045	created you	0	1	0
2	21	7	وَٱلَّذِينَ	1426	and those	0	1	0
2	21	8	مِن	2	from	0	0	0
2	21	9	قَبْلِكُمْ	6586	before you,	0	1	1
2	21	10	لَعَلَّكُمْ	6199	so that you may	0	1	0
2	21	11	تَتَّقُونَ	18135	become righteous.	0	1	1
2	22	1	ٱلَّذِى	31	The One Who	0	1	0
2	22	2	جَعَلَ	509	made	0	1	0
2	22	3	لَكُمُ	366	for you	0	0	0
2	22	4	ٱلْأَرْضَ	178	the earth	0	1	0
2	22	5	فِرَٰشًا	30473	a resting place	0	0	1
2	22	6	وَٱلسَّمَآءَ	14471	and the sky	0	0	0
2	22	7	بِنَآءً	418	a canopy,	0	1	1
2	22	8	وَأَنزَلَ	7845	and sent down	0	0	0
2	22	9	مِنَ	2	from	0	0	0
2	22	10	ٱلسَّمَآءِ	559	the sky	0	0	0
2	22	11	مَآءً	942	water,	0	1	1
2	22	12	فَأَخْرَجَ	8730	then brought forth	0	0	0
2	22	13	بِهِۦ	30	therewith	0	0	0
2	22	14	مِنَ	2	[of]	0	0	0
2	22	15	ٱلثَّمَرَٰتِ	21272	the fruits	0	1	0
2	22	16	رِزْقًا	14869	(as) provision	0	0	0
2	22	17	لَّكُمْ	366	for you.	3	1	1
2	22	18	فَلَا	81	So (do) not	0	0	0
2	22	19	تَجْعَلُوا۟	20385	set up	0	1	0
2	22	20	لِلَّهِ	210	to Allah	0	0	0
2	22	21	أَندَادًا	26407	rivals	0	1	0
2	22	22	وَأَنتُمْ	3049	while you	0	0	0
2	22	23	تَعْلَمُونَ	4296	[you] know.	0	1	1
2	23	1	وَإِن	44	And if	0	0	0
2	23	2	كُنتُمْ	1649	you are	0	1	0
2	23	3	فِى	1	in	0	0	0
2	23	4	رَيْبٍ	4550	doubt	0	0	1
2	23	5	مِّمَّا	138	about what	0	1	0
2	23	6	نَزَّلْنَا	14449	We have revealed	0	1	0
2	23	7	عَلَىٰ	5	to	0	0	0
2	23	8	عَبْدِنَا	33056	Our slave,	0	1	1
2	23	9	فَأْتُوا۟	10961	then produce	0	1	0
2	23	10	بِسُورَةٍ	14762	a chapter	0	0	0
2	23	11	مِّن	2	[of]	0	0	0
2	23	12	مِّثْلِهِۦ	741	like it	0	1	1
2	23	13	وَٱدْعُوا۟	25894	and call	0	0	0
2	23	14	شُهَدَآءَكُم	73471	your witnesses	0	1	0
2	23	15	مِّن	2	from	0	0	0
2	23	16	دُونِ	156	other than	0	0	0
2	23	17	ٱللَّهِ	4	Allah	0	1	1
2	23	18	إِن	3	if	0	0	0
2	23	19	كُنتُمْ	1649	you are	0	0	0
2	23	20	صَٰدِقِينَ	12276	truthful.	0	1	1
2	24	1	فَإِن	59	But if	0	0	0
2	24	2	لَّمْ	24	not	0	0	0
2	24	3	تَفْعَلُوا۟	13860	you do,	0	1	0
2	24	4	وَلَن	2274	and never	0	0	0
2	24	5	تَفْعَلُوا۟	13860	will you do,	0	1	1
2	24	6	فَٱتَّقُوا۟	14497	then fear	0	0	0
2	24	7	ٱلنَّارَ	344	the Fire	0	1	0
2	24	8	ٱلَّتِى	18	whose	0	0	0
2	24	9	وَقُودُهَا	39701	[its] fuel	0	1	0
2	24	10	ٱلنَّاسُ	78	(is) [the] men	0	0	0
2	24	11	وَٱلْحِجَارَةُ	28789	and [the] stones,	3	1	1
2	24	12	أُعِدَّتْ	8693	prepared	0	0	0
2	24	13	لِلْكَٰفِرِينَ	14307	for the disbelievers.	0	1	1
2	25	1	وَبَشِّرِ	11175	And give good news	0	1	0
2	25	2	ٱلَّذِينَ	101	(to) those who	0	0	0
2	25	3	ءَامَنُوا۟	992	believe,	0	1	0
2	25	4	وَعَمِلُوا۟	7735	and do	0	0	0
2	25	5	ٱلصَّٰلِحَٰتِ	5385	[the] righteous deeds,	0	1	1
2	25	6	أَنَّ	3	that	0	0	0
2	25	7	لَهُمْ	124	for them	0	0	0
2	25	8	جَنَّٰتٍ	6162	(will be) Gardens,	0	1	1
2	25	9	تَجْرِى	2683	flow	0	1	0
2	25	10	مِن	2	[from]	0	0	0
2	25	11	تَحْتِهَا	5499	under them	0	0	0
2	25	12	ٱلْأَنْهَٰرُ	6643	the rivers.	3	0	1
2	25	13	كُلَّمَا	1827	Every time	0	0	0
2	25	14	رُزِقُوا۟	81440	they are provided	0	1	0
2	25	15	مِنْهَا	98	therefrom	0	0	0
2	25	16	مِن	2	of	0	0	0
2	25	17	ثَمَرَةٍ	7297	fruit	0	0	0
2	25	18	رِّزْقًا	14869	(as) provision,	2	1	1
2	25	19	قَالُوا۟	266	they (will) say,	0	1	0
2	25	20	هَٰذَا	12	"This (is)	0	0	0
2	25	21	ٱلَّذِى	31	the one which	0	0	0
2	25	22	رُزِقْنَا	37072	we were provided	0	1	0
2	25	23	مِن	2	from	0	0	0
2	25	24	قَبْلُ	74	before."	3	1	1
2	25	25	وَأُتُوا۟	12410	And they will be given	0	0	0
2	25	26	بِهِۦ	30	therefrom	0	0	0
2	25	27	مُتَشَٰبِهًا	37383	(things) in resemblance;	3	1	1
2	25	28	وَلَهُمْ	4274	And for them	0	0	0
2	25	29	فِيهَآ	63	therein	0	1	0
2	25	30	أَزْوَٰجٌ	10219	spouses	0	0	0
2	25	31	مُّطَهَّرَةٌ	28234	purified,	3	1	1
2	25	32	وَهُمْ	331	and they	0	0	0
2	25	33	فِيهَا	63	therein	0	1	0
2	25	34	خَٰلِدُونَ	18093	(will) abide forever.	0	1	1
2	26	1	إِنَّ	3	Indeed,	0	0	0
2	26	2	ٱللَّهَ	4	Allah	0	1	0
2	26	3	لَا	10	(is) not	0	0	0
2	26	4	يَسْتَحْىِۦٓ	35837	ashamed	0	1	0
2	26	5	أَن	3	to	0	0	0
2	26	6	يَضْرِبَ	3265	set forth	0	1	0
2	26	7	مَثَلًا	603	an example	0	0	0
2	26	8	مَّا	11	(like) even	0	0	0
2	26	9	بَعُوضَةً	33461	(of) a mosquito	0	1	1
2	26	10	فَمَا	287	and (even) something	0	0	0
2	26	11	فَوْقَهَا	7926	above it.	5	1	1
2	26	12	فَأَمَّا	821	Then as for	0	0	0
2	26	13	ٱلَّذِينَ	101	those who	0	1	0
2	26	14	ءَامَنُوا۟	992	believed,	0	1	1
2	26	15	فَيَعْلَمُونَ	76542	[thus] they will know	0	1	0
2	26	16	أَنَّهُ	28	that it	0	0	0
2	26	17	ٱلْحَقُّ	236	(is) the truth	0	1	0
2	26	18	مِن	2	from	0	0	0
2	26	19	رَّبِّهِمْ	2514	their Lord.	3	1	1
2	26	20	وَأَمَّا	139	And as for	0	0	0
2	26	21	ٱلَّذِينَ	101	those who	0	0	0
2	26	22	كَفَرُوا۟	2314	disbelieved	0	0	1
2	26	23	فَيَقُولُونَ	5495	[thus] they will say	0	1	0
2	26	24	مَاذَآ	1193	what	0	1	0
2	26	25	أَرَادَ	455	(did) intend	0	0	0
2	26	26	ٱللَّهُ	4	Allah	0	1	0
2	26	27	بِهَٰذَا	310	by this	0	0	0
2	26	28	مَثَلًا	603	example?	1	1	1
2	26	29	يُضِلُّ	12295	He lets go astray	0	0	0
2	26	30	بِهِۦ	30	by it	0	0	0
2	26	31	كَثِيرًا	431	many	0	1	1
2	26	32	وَيَهْدِى	22761	and He guides	0	0	0
2	26	33	بِهِۦ	30	by it	0	0	0
2	26	34	كَثِيرًا	431	many.	5	1	1
2	26	35	وَمَا	76	And not	0	0	0
2	26	36	يُضِلُّ	12295	He lets go astray	0	0	0
2	26	37	بِهِۦٓ	30	by it	0	1	0
2	26	38	إِلَّا	27	except	0	0	0
2	26	39	ٱلْفَٰسِقِينَ	23901	the defiantly disobedient.	0	1	1
2	27	1	ٱلَّذِينَ	101	Those who	0	0	0
2	27	2	يَنقُضُونَ	52338	break	0	1	0
2	27	3	عَهْدَ	1001	(the) Covenant	0	0	0
2	27	4	ٱللَّهِ	4	(of) Allah	0	1	0
2	27	5	مِنۢ	2	from	0	0	0
2	27	6	بَعْدِ	45	after	0	0	0
2	27	7	مِيثَٰقِهِۦ	72516	its ratification,	0	1	1
2	27	8	وَيَقْطَعُونَ	65553	and [they] cut	0	0	0
2	27	9	مَآ	11	what	0	0	0
2	27	10	أَمَرَ	211	has ordered	0	1	0
2	27	11	ٱللَّهُ	4	Allah	0	0	0
2	27	12	بِهِۦٓ	30	it	0	0	0
2	27	13	أَن	3	to	0	1	0
2	27	14	يُوصَلَ	13633	be joined	0	1	1
2	27	15	وَيُفْسِدُونَ	87911	and [they] spread corruption	0	0	0
2	27	16	فِى	1	in	0	0	0
2	27	17	ٱلْأَرْضِ	178	the earth.	5	1	1
2	27	18	أُو۟لَٰٓئِكَ	207615	Those,	0	0	0
2	27	19	هُمُ	265	they	0	1	0
2	27	20	ٱلْخَٰسِرُونَ	32702	(are) the losers.	0	1	1
2	28	1	كَيْفَ	328	How	0	0	0
2	28	2	تَكْفُرُونَ	24390	(can) you disbelieve	0	0	0
2	28	3	بِٱللَّهِ	338	in Allah?	0	1	1
2	28	4	وَكُنتُمْ	27384	While you were	0	0	0
2	28	5	أَمْوَٰتًا	31502	dead	0	1	0
2	28	6	فَأَحْيَٰكُمْ	88983	then He gave you life;	3	1	1
2	28	7	ثُمَّ	36	then	0	0	0
2	28	8	يُمِيتُكُمْ	65438	He will cause you to die,	0	1	0
2	28	9	ثُمَّ	36	then	0	0	0
2	28	10	يُحْيِيكُمْ	42206	He will give you life,	0	0	1
2	28	11	ثُمَّ	36	then	0	0	0
2	28	12	إِلَيْهِ	92	to Him	0	1	0
2	28	13	تُرْجَعُونَ	17548	you will be returned.	0	1	1
2	29	1	هُوَ	29	He	0	0	0
2	29	2	ٱلَّذِى	31	(is) the One Who	0	1	0
2	29	3	خَلَقَ	593	created	0	0	0
2	29	4	لَكُم	366	for you	0	0	0
2	29	5	مَّا	11	what	0	1	0
2	29	6	فِى	1	(is) in	0	0	0
2	29	7	ٱلْأَرْضِ	178	the earth,	0	0	0
2	29	8	جَمِيعًا	550	all.	0	1	1
2	29	9	ثُمَّ	36	Moreover	0	0	0
2	29	10	ٱسْتَوَىٰٓ	6324	He turned	0	0	0
2	29	11	إِلَى	8	to	0	0	0
2	29	12	ٱلسَّمَآءِ	559	the heaven	0	1	1
2	29	13	فَسَوَّىٰهُنَّ	91886	and fashioned them	0	1	0
2	29	14	سَبْعَ	1179	seven	0	0	0
2	29	15	سَمَٰوَٰتٍ	28549	heavens.	5	1	1
2	29	16	وَهُوَ	38	And He	0	0	0
2	29	17	بِكُلِّ	753	of every	0	0	0
2	29	18	شَىْءٍ	119	thing	0	0	0
2	29	19	عَلِيمٌ	3923	(is) All-Knowing.	0	1	1
2	30	1	وَإِذْ	747	And when	0	1	0
2	30	2	قَالَ	9	said	0	0	0
2	30	3	رَبُّكَ	1011	your Lord	0	0	0
2	30	4	لِلْمَلَٰٓئِكَةِ	0	to the angels,	0	0	1
2	30	5	إِنِّى	256	"Indeed, I (am)	0	1	0
2	30	6	جَاعِلٌ	31504	going to place	0	0	0
2	30	7	فِى	1	in	0	0	0
2	30	8	ٱلْأَرْضِ	178	the earth	0	0	0
2	30	9	خَلِيفَةً	1688	a vicegerent,	3	1	1
2	30	10	قَالُوٓا۟	266	they said,	0	1	0
2	30	11	أَتَجْعَلُ	48747	"Will You place	0	0	0
2	30	12	فِيهَا	63	in it	0	1	1
2	30	13	مَن	2	(one) who	0	0	0
2	30	14	يُفْسِدُ	5986	will spread corruption	0	0	0
2	30	15	فِيهَا	63	in it	0	1	0
2	30	16	وَيَسْفِكُ	65922	and will shed	0	0	0
2	30	17	ٱلدِّمَآءَ	6853	[the] blood[s],	0	1	1
2	30	18	وَنَحْنُ	1051	while we,	0	0	0
2	30	19	نُسَبِّحُ	58695	[we] glorify (You)	0	0	0
